time, NIS_laser_, threshold_laser, NIS_radar_, threshold_radar
1477010461300000,0.739984,5.991,0.,7.815
1477010461350000,0.,5.991,0.909136,7.815
1477010461400000,2.51419,5.991,0.,7.815
1477010461450000,0.,5.991,1.90477,7.815
1477010461500000,2.9,5.991,0.,7.815
1477010461550000,0.,5.991,3.41621,7.815
1477010461600000,5.6116,5.991,0.,7.815
1477010461650000,0.,5.991,0.324396,7.815
1477010461700000,2.57338,5.991,0.,7.815
1477010461750000,0.,5.991,1.84399,7.815
1477010461800000,0.487078,5.991,0.,7.815
1477010461850000,0.,5.991,1.15187,7.815
1477010461900000,0.49763,5.991,0.,7.815
1477010461950000,0.,5.991,5.89174,7.815
1477010462000000,0.741766,5.991,0.,7.815
1477010462050000,0.,5.991,0.114103,7.815
1477010462100000,0.465145,5.991,0.,7.815
1477010462150000,0.,5.991,11.5611,7.815
1477010462200000,2.06385,5.991,0.,7.815
1477010462250000,0.,5.991,2.87373,7.815
1477010462300000,4.32721,5.991,0.,7.815
1477010462350000,0.,5.991,0.0572512,7.815
1477010462400000,1.23033,5.991,0.,7.815
1477010462450000,0.,5.991,1.95435,7.815
1477010462500000,5.93358,5.991,0.,7.815
1477010462550000,0.,5.991,1.34374,7.815
1477010462600000,1.41314,5.991,0.,7.815
1477010462650000,0.,5.991,1.91774,7.815
1477010462700000,1.07782,5.991,0.,7.815
1477010462750000,0.,5.991,1.78282,7.815
1477010462800000,0.104961,5.991,0.,7.815
1477010462850000,0.,5.991,5.22455,7.815
1477010462900000,0.460591,5.991,0.,7.815
1477010462950000,0.,5.991,2.2301,7.815
1477010463000000,2.50851,5.991,0.,7.815
1477010463050000,0.,5.991,1.73726,7.815
1477010463100000,1.92234,5.991,0.,7.815
1477010463150000,0.,5.991,1.74134,7.815
1477010463200000,3.28581,5.991,0.,7.815
1477010463250000,0.,5.991,6.57774,7.815
1477010463300000,0.0923531,5.991,0.,7.815
1477010463350000,0.,5.991,7.81982,7.815
1477010463400000,0.240241,5.991,0.,7.815
1477010463450000,0.,5.991,0.554259,7.815
1477010463500000,0.736206,5.991,0.,7.815
1477010463550000,0.,5.991,0.431131,7.815
1477010463600000,0.102705,5.991,0.,7.815
1477010463650000,0.,5.991,3.22613,7.815
1477010463700000,1.70067,5.991,0.,7.815
1477010463750000,0.,5.991,2.10002,7.815
1477010463800000,0.15922,5.991,0.,7.815
1477010463850000,0.,5.991,1.0753,7.815
1477010463900000,3.71069,5.991,0.,7.815
1477010463950000,0.,5.991,0.603384,7.815
1477010464000000,2.01441,5.991,0.,7.815
1477010464050000,0.,5.991,9.10462,7.815
1477010464100000,0.434035,5.991,0.,7.815
1477010464150000,0.,5.991,2.31519,7.815
1477010464200000,0.926614,5.991,0.,7.815
1477010464250000,0.,5.991,0.816203,7.815
1477010464300000,1.18736,5.991,0.,7.815
1477010464350000,0.,5.991,2.99797,7.815
1477010464400000,0.0254817,5.991,0.,7.815
1477010464450000,0.,5.991,4.88707,7.815
1477010464500000,0.126294,5.991,0.,7.815
1477010464550000,0.,5.991,1.37892,7.815
1477010464600000,4.16778,5.991,0.,7.815
1477010464650000,0.,5.991,5.48643,7.815
1477010464700000,1.11468,5.991,0.,7.815
1477010464750000,0.,5.991,1.93216,7.815
1477010464800000,0.244232,5.991,0.,7.815
1477010464850000,0.,5.991,2.72947,7.815
1477010464900000,2.14016,5.991,0.,7.815
1477010464950000,0.,5.991,5.74519,7.815
1477010465000000,0.0978102,5.991,0.,7.815
1477010465050000,0.,5.991,1.4415,7.815
1477010465100000,4.63759,5.991,0.,7.815
1477010465150000,0.,5.991,5.47373,7.815
1477010465200000,2.74971,5.991,0.,7.815
1477010465250000,0.,5.991,5.1031,7.815
1477010465300000,1.39989,5.991,0.,7.815
1477010465350000,0.,5.991,1.14439,7.815
1477010465400000,0.541629,5.991,0.,7.815
1477010465450000,0.,5.991,0.67142,7.815
1477010465500000,0.989569,5.991,0.,7.815
1477010465550000,0.,5.991,4.72066,7.815
1477010465600000,6.23552,5.991,0.,7.815
1477010465650000,0.,5.991,1.71798,7.815
1477010465700000,0.790051,5.991,0.,7.815
1477010465750000,0.,5.991,5.72668,7.815
1477010465800000,3.94107,5.991,0.,7.815
1477010465850000,0.,5.991,3.22694,7.815
1477010465900000,1.77831,5.991,0.,7.815
1477010465950000,0.,5.991,0.504348,7.815
1477010466000000,2.25162,5.991,0.,7.815
1477010466050000,0.,5.991,0.127408,7.815
1477010466100000,1.61209,5.991,0.,7.815
1477010466150000,0.,5.991,0.659346,7.815
1477010466200000,0.236976,5.991,0.,7.815
1477010466250000,0.,5.991,0.254865,7.815
1477010466300000,1.19481,5.991,0.,7.815
1477010466350000,0.,5.991,7.85029,7.815
1477010466400000,0.55839,5.991,0.,7.815
1477010466450000,0.,5.991,6.68081,7.815
1477010466500000,1.89418,5.991,0.,7.815
1477010466550000,0.,5.991,0.634851,7.815
1477010466600000,8.55679,5.991,0.,7.815
1477010466650000,0.,5.991,1.30976,7.815
1477010466700000,0.624941,5.991,0.,7.815
1477010466750000,0.,5.991,0.508493,7.815
1477010466800000,3.65521,5.991,0.,7.815
1477010466850000,0.,5.991,1.27052,7.815
1477010466900000,2.07814,5.991,0.,7.815
1477010466950000,0.,5.991,0.284766,7.815
1477010467000000,1.66626,5.991,0.,7.815
1477010467050000,0.,5.991,2.94434,7.815
1477010467100000,0.735782,5.991,0.,7.815
1477010467150000,0.,5.991,9.30667,7.815
1477010467200000,2.83883,5.991,0.,7.815
1477010467250000,0.,5.991,0.391133,7.815
1477010467300000,0.95721,5.991,0.,7.815
1477010467350000,0.,5.991,7.49886,7.815
1477010467400000,1.81701,5.991,0.,7.815
1477010467450000,0.,5.991,4.10489,7.815
1477010467500000,0.523764,5.991,0.,7.815
1477010467550000,0.,5.991,2.69749,7.815
1477010467600000,0.772353,5.991,0.,7.815
1477010467650000,0.,5.991,6.74624,7.815
1477010467700000,6.70468,5.991,0.,7.815
1477010467750000,0.,5.991,1.03952,7.815
1477010467800000,3.98002,5.991,0.,7.815
1477010467850000,0.,5.991,1.59909,7.815
1477010467900000,0.546316,5.991,0.,7.815
